"nomAttribuant","idAttribuant","typeAttribuant","anneeAttribution","nomBeneficiaire ","typeBeneficiaire ","montant","nature","objetAideNature"
"Ville de Marseille",21130055300016,"COM",2019,"AMICALE SOUVENIR ST EUGENOIS","Associations",3014.77,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"AMICALE SOUVENIR ST EUGENOIS","Associations",2000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"AMICALE SPORTIVE MARSEILLAISE DU VIEUXPORT","Associations",1000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"AMITIE JUDEO CHRETIENNE MARSEILLE PROVENCE","Associations",500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"AMITIES MARSEILLAISES CULTURE ET PARTAGE AMCP","Associations",3000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ANCIENS ET AMIS DE BAB EL OUED","Associations",3972.96,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ANCIENS ET AMIS DE BAB EL OUED","Associations",2300,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ANCRAGES","Associations",2000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ANIMA INVESTMENT NETWORK","Associations",49000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ANIMA THEATRE","Associations",15000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ANIMAXI-LOISIRS","Associations",163.2,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ANIMAXI-LOISIRS","Associations",489.6,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ANIMAXI-LOISIRS","Associations",653.4,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ANMMN 13","Associations",1049.41,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ANOCR","Associations",2256.35,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"AOMQM","Associations",6120.86,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"APDM","Associations",1049.41,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"APE DE L’ECOLE MATERNELLE ESTAQUE PLAGE","Associations",0,"aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"APE LES OLIVES","Associations",0,"aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"APE MATERNELLE ABBE DE L’EPEE","Associations",378.48,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"APER DE LA ROUVIERE","Associations",261,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"APMR","Associations",1049.41,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"APPROCHES CULTURES ET TERRITOIRES","Associations",10000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ARAA","Associations",4013.33,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ARAC ET VICTIMES DE GUERRE ET DES COMBATTANTS POUR AMITIE LA SOLIDARITE","Associations",100,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ARCHAOS CIRQUE DE CARACTERE","Associations",600000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ARM13","Associations",1525.23,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ARPSYDEMIO","Associations",2000,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ARPSYDEMIO","Associations",3000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ART CCESSIBLE","Associations",4000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ART ESPACE","Associations",216,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ART PLUS","Associations",85000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ARTONIK","Associations",8000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ARTOTHEQUE ANTONIN ARTAUD","Associations",4000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ARTS ET DEVELOPPEMENT","Associations",6492,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ARTS ET MUSIQUES EN PROVENCE","Associations",1200,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ARTS ET MUSIQUES EN PROVENCE","Associations",14036.94,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ARTS THEATRE ET CLAQUETTES COMPAGNIE PHILIPPE CHAGOT","Associations",1000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"AS AYGALADES CASTELLAS","Associations",540,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASAF13","Associations",6120.86,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASB","Associations",6120.86,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASC LITTORAL","Associations",9.6,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASC LITTORAL","Associations",1550.4,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASCC LA CASTELLANE","Associations",3502.5,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASCHS","Associations",14000,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASS AIDE AIDANTS NATURELS PERS AGEES OU HANDICAPEES EN PERTE D AUTONOMIE","Associations",4000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS AIDE AUX MUSIQUES INNOVATRICES","Associations",130000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS ASTHME ET ALLERGIES","Associations",8000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS CHATEAU DE LA BUZINE","Associations",415000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS CHATEAU DE SERVIERES","Associations",77126.87,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS CHRISTOPHE","Associations",6300,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS COLA PRODUCTION","Associations",13766.45,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS COMBATTANTS DE L UNION FRANCAISE","Associations",300,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS CRECHES MICRO BULLES","Associations",209610.8,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS CULTUREL ET LOISIRS DES JEUNES DU CASTELLAS","Associations",6817.5,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASS CULTURELLE D ESPACE LECTURE ET D ECRITURE EN MEDITERRANEE ACELEM","Associations",207000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS CULTURELLE DES AYGALADES","Associations",23115,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASS CULTURELLE DES FRANCAIS D ALGERIE ACFA","Associations",1400,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS D AIDE AUX VICTIMES D ACTES DE DELINQUANCE","Associations",33419,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS D’ECOLE FREINET LES FABRETTE","Associations",0,"aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE DEVELOPPEMENT D ENTREPRISES LOCALES INSERTION ECONOMIQUE ET SOCIAL","Associations",26500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE DEVELOPPEMENT DES SPORTS DE PETITES SURFACES","Associations",3000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE GESTION DE L ECOLE DE LA DEUXIEME CHANCE","Associations",1495926,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE GESTION DE L INCUBATEUR MULTIMEDIA","Associations",25000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE GESTION ET ANIMATION DU CENTRE SOCIO CULTUREL FRAIS VALLON","Associations",130529,"aide en numéraire",
