NOM_COLLECTIVITE,ID_COLLECTIVITE,DELIB_DATE,DELIB_NUM,DELIB_OBJET,DELIB_URL,DIRECTION_EMETTRICE,DELEGATION_EMETTRICE
Marseille,21130055300016,2018-12-20,18/1050/DDCV,Attribution d'une subvention à l'association  amicale des anciens du Bataillon de Marins-Pompiers.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0ONB.pdf,BATAILLON DE MARINS-POMPIERS,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE
Marseille,21130055300016,2018-12-20,18/1049/DDCV,Convention de partenariat entre le Bataillon de Marins-Pompiers de Marseille et l'Ecole Nationale Supérieure des Officiers de Sapeurs-Pompiers.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PP1.pdf,BATAILLON DE MARINS-POMPIERS,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE
Marseille,21130055300016,2018-12-20,18/1048/DDCV,"Convention de gestion relative à la compétence de la commune de Marseille ""Service Public de Défense Extérieure contre l'Incendie"" transférée au 1er janvier 2018 à la Métropole Aix-Marseille Provence - Approbation de l'avenant n°1.",http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0POI.pdf,BATAILLON DE MARINS-POMPIERS,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE
Marseille,21130055300016,2018-12-20,18/1047/DDCV,Remise aux normes de centres d'incendie et de secours et extension de quatre centres - Augmentation de l'autorisation de l'affectation de programme relative aux études et aux travaux - financement,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PN2.pdf,BATAILLON DE MARINS-POMPIERS,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE
Marseille,21130055300016,2018-12-20,18/1046/DDCV,Création du Centre d'Incendie et de Secours du Redon - Approbation de l'augmentation de l'affectation de l'autorisation de programme relative aux études - financement.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PMY.pdf,BATAILLON DE MARINS-POMPIERS,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE
Marseille,21130055300016,2018-12-20,18/1045/DDCV,Création du Centre d'Incendie et de Secours de Saint-Julien - Approbation de l'augmentation de l'affection de l'autorisation de programme relative aux études - Financement.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PLY.pdf,BATAILLON DE MARINS-POMPIERS,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE
Marseille,21130055300016,2018-12-20,18/1044/DDCV,SERVICE DE LA MOBILITE URBAINE - Encadrement des Engins de Déplacements Personnels sur le territoire de Marseille. ,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PQD.pdf,DIRECTION DE LA SANTE DE LA SOLIDARITE ET DE L'INCLUSION,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300016,2018-12-20,18/1043/DDCV,SERVICE DE LA MOBILITE URBAINE - Reconduction des tarifs des droits de stationnement applicables aux opérateurs d'autopartage.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PO5.pdf,DIRECTION DE LA SANTE DE LA SOLIDARITE ET DE L'INCLUSION,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300016,2018-12-20,18/1042/DDCV,"SERVICE DE LA MOBILITE URBAINE - Dispositions de régulation du stationnement et de la circulation en faveur de l'attractivité économique, de la qualité de l'air et du cadre de vie dans les espaces de centralité de Marseille.",http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PO3.pdf,DIRECTION DE LA SANTE DE LA SOLIDARITE ET DE L'INCLUSION,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300016,2018-12-20,18/1041/DDCV,SERVICE DE LA MOBILITE URBAINE - Renouvellement de la délégation de service public du stationnement payant sur voirie - Désignation du délégataire.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PM9.pdf,DIRECTION DE LA SANTE DE LA SOLIDARITE ET DE L'INCLUSION,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300016,2018-12-20,18/1040/DDCV,SERVICE NAUTISME ET PLONGEE - Division technique - Marché formalisé relatif à la fourniture et à la livraison de pièces détachées de moteurs et de flotteurs pour bateaux semi rigides - Lancement d'une consultation.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PNU.pdf,DIRECTION DE LA MER,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300016,2018-12-20,18/1039/DDCV,Approbation de la démarche menant à la demande d'adhésion de la Ville de Marseille à l'UICN ainsi qu'au Comité Français de l'UICN.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PNO.pdf,DIRECTION DE LA MER,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300016,2018-12-20,18/1038/DDCV,SERVICE NAUTISME ET PLONGEE - Participation de la Ville de Marseille au Salon de la Plongée du 11 janvier au 14 janvier 2019 à Paris - Autorisation d'une délégation au Salon de la Plongée - Frais réels.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PKP.pdf,DIRECTION DE LA MER,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300016,2018-12-20,18/1037/DDCV,Participation financière de la Ville de Marseille pour l'année 2018 au programme pour les Petites Iles de Méditerranée (2014 - 2020) dans le cadre de la convention de partenariat n°2013/1238 - Approbation de l'avenant n°2 avec le Conservatoire du Littoral.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PO8.pdf,DIRECTION DE LA MER,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300016,2018-12-20,18/1036/DDCV,DIRECTION DELEGUEE AUX JEUX OLYMPIQUES ET AUX GRANDS EVENEMENTS - Approbation de l'accueil en 2020 du Congrès Mondial de la Nature de l'Union Internationale pour la Conservation de la Nature (UICN).,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PNW.pdf,DIRECTION DE LA MER,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300016,2018-12-20,18/1035/DDCV,SERVICE NAUTISME ET PLONGEE - Politique de la mer et du littoral - Plan Nautisme et Plongée - Partenariat avec l'Education Nationale pour l'accueil des classes transplantées sur les bases nautiques - Approbation d'une convention.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PKY.pdf,DIRECTION DE LA MER,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300016,2018-12-20,18/1034/DDCV,SERVICE NAUTISME ET PLONGEE - Politique de la mer et du littoral - Plan Nautisme et Plongée - Partenariat avec l'Education Nationale et le Cercle d'Aviron de Marseille pour la création d'une classe sportive d'aviron - Approbation d'une convention.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PKX.pdf,DIRECTION DE LA MER,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300016,2018-12-20,18/1033/DDCV,SERVICE NAUTISME ET PLONGEE - Politique de la mer et du littoral - Plan Nautisme et Plongée - Convention de partenariat avec la Ligue de voile Sud PACA précisant les moyens techniques et nautiques mis à disposition sur la base nautique du Roucas Blanc.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PKV.pdf,DIRECTION DE LA MER,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
